Lugar de origen;Sexo;Medida;Valor;
Tabernas;Hombres;Emigraciones;85;
Tabernas;Mujeres;Emigraciones;70;
Tabernas;Ambos sexos;Emigraciones;155;
Taberno;Hombres;Emigraciones;18;
Taberno;Mujeres;Emigraciones;19;
Taberno;Ambos sexos;Emigraciones;37;
Tahal;Hombres;Emigraciones;22;
Tahal;Mujeres;Emigraciones;17;
Tahal;Ambos sexos;Emigraciones;39;
Terque;Hombres;Emigraciones;17;
Terque;Mujeres;Emigraciones;19;
Terque;Ambos sexos;Emigraciones;36;
Tíjola;Hombres;Emigraciones;47;
Tíjola;Mujeres;Emigraciones;76;
Tíjola;Ambos sexos;Emigraciones;123;
Tres Villas (Las);Hombres;Emigraciones;21;
Tres Villas (Las);Mujeres;Emigraciones;27;
Tres Villas (Las);Ambos sexos;Emigraciones;48;
Turre;Hombres;Emigraciones;88;
Turre;Mujeres;Emigraciones;96;
Turre;Ambos sexos;Emigraciones;184;
Turrillas;Hombres;Emigraciones;6;
Turrillas;Mujeres;Emigraciones;8;
Turrillas;Ambos sexos;Emigraciones;14;
Uleila del Campo;Hombres;Emigraciones;19;
Uleila del Campo;Mujeres;Emigraciones;31;
Uleila del Campo;Ambos sexos;Emigraciones;50;
Urrácal;Hombres;Emigraciones;6;
Urrácal;Mujeres;Emigraciones;5;
Urrácal;Ambos sexos;Emigraciones;11;
Velefique;Hombres;Emigraciones;8;
Velefique;Mujeres;Emigraciones;5;
Velefique;Ambos sexos;Emigraciones;13;
Vélez-Blanco;Hombres;Emigraciones;45;
Vélez-Blanco;Mujeres;Emigraciones;51;
Vélez-Blanco;Ambos sexos;Emigraciones;96;
Vélez-Rubio;Hombres;Emigraciones;117;
Vélez-Rubio;Mujeres;Emigraciones;119;
Vélez-Rubio;Ambos sexos;Emigraciones;236;
Vera;Hombres;Emigraciones;989;
Vera;Mujeres;Emigraciones;885;
Vera;Ambos sexos;Emigraciones;1874;
Viator;Hombres;Emigraciones;255;
Viator;Mujeres;Emigraciones;183;
Viator;Ambos sexos;Emigraciones;438;
Vícar;Hombres;Emigraciones;894;
Vícar;Mujeres;Emigraciones;698;
Vícar;Ambos sexos;Emigraciones;1592;
Zurgena;Hombres;Emigraciones;141;
Zurgena;Mujeres;Emigraciones;137;
Zurgena;Ambos sexos;Emigraciones;278;
Balanegra;Hombres;Emigraciones;44;
Balanegra;Mujeres;Emigraciones;29;
Balanegra;Ambos sexos;Emigraciones;73;
Cádiz;Hombres;Emigraciones;16416;
Cádiz;Mujeres;Emigraciones;15373;
Cádiz;Ambos sexos;Emigraciones;31789;
Alcalá de los Gazules;Hombres;Emigraciones;57;
Alcalá de los Gazules;Mujeres;Emigraciones;67;
Alcalá de los Gazules;Ambos sexos;Emigraciones;124;
Alcalá del Valle;Hombres;Emigraciones;42;
Alcalá del Valle;Mujeres;Emigraciones;50;
Alcalá del Valle;Ambos sexos;Emigraciones;92;
Algar;Hombres;Emigraciones;15;
Algar;Mujeres;Emigraciones;30;
Algar;Ambos sexos;Emigraciones;45;
Algeciras;Hombres;Emigraciones;2160;
Algeciras;Mujeres;Emigraciones;1860;
Algeciras;Ambos sexos;Emigraciones;4020;
Algodonales;Hombres;Emigraciones;55;
Algodonales;Mujeres;Emigraciones;63;
Algodonales;Ambos sexos;Emigraciones;118;
Arcos de la Frontera;Hombres;Emigraciones;409;
Arcos de la Frontera;Mujeres;Emigraciones;392;
Arcos de la Frontera;Ambos sexos;Emigraciones;801;
Barbate;Hombres;Emigraciones;222;
Barbate;Mujeres;Emigraciones;219;
Barbate;Ambos sexos;Emigraciones;441;
Barrios (Los);Hombres;Emigraciones;381;
Barrios (Los);Mujeres;Emigraciones;392;
Barrios (Los);Ambos sexos;Emigraciones;773;
Benalup-Casas Viejas;Hombres;Emigraciones;111;
Benalup-Casas Viejas;Mujeres;Emigraciones;90;
Benalup-Casas Viejas;Ambos sexos;Emigraciones;201;
Benaocaz;Hombres;Emigraciones;16;
Benaocaz;Mujeres;Emigraciones;16;
Benaocaz;Ambos sexos;Emigraciones;32;
Bornos;Hombres;Emigraciones;86;
Bornos;Mujeres;Emigraciones;96;
Bornos;Ambos sexos;Emigraciones;182;
Bosque (El);Hombres;Emigraciones;28;
Bosque (El);Mujeres;Emigraciones;24;
Bosque (El);Ambos sexos;Emigraciones;52;
Cádiz (capital);Hombres;Emigraciones;1559;
Cádiz (capital);Mujeres;Emigraciones;1473;
Cádiz (capital);Ambos sexos;Emigraciones;3032;
Castellar de la Frontera;Hombres;Emigraciones;54;
Castellar de la Frontera;Mujeres;Emigraciones;31;
Castellar de la Frontera;Ambos sexos;Emigraciones;85;
Chiclana de la Frontera;Hombres;Emigraciones;1218;
Chiclana de la Frontera;Mujeres;Emigraciones;1181;
Chiclana de la Frontera;Ambos sexos;Emigraciones;2399;
Chipiona;Hombres;Emigraciones;218;
Chipiona;Mujeres;Emigraciones;236;
Chipiona;Ambos sexos;Emigraciones;454;
Conil de la Frontera;Hombres;Emigraciones;240;
Conil de la Frontera;Mujeres;Emigraciones;231;
Conil de la Frontera;Ambos sexos;Emigraciones;471;
Espera;Hombres;Emigraciones;28;
Espera;Mujeres;Emigraciones;26;
Espera;Ambos sexos;Emigraciones;54;
Gastor (El);Hombres;Emigraciones;41;
Gastor (El);Mujeres;Emigraciones;36;
Gastor (El);Ambos sexos;Emigraciones;77;
Grazalema;Hombres;Emigraciones;28;
Grazalema;Mujeres;Emigraciones;22;
Grazalema;Ambos sexos;Emigraciones;50;
Jerez de la Frontera;Hombres;Emigraciones;2262;
Jerez de la Frontera;Mujeres;Emigraciones;2105;
Jerez de la Frontera;Ambos sexos;Emigraciones;4367;
Jimena de la Frontera;Hombres;Emigraciones;184;
Jimena de la Frontera;Mujeres;Emigraciones;160;
Jimena de la Frontera;Ambos sexos;Emigraciones;344;
Línea de la Concepción (La);Hombres;Emigraciones;769;
Línea de la Concepción (La);Mujeres;Emigraciones;740;
Línea de la Concepción (La);Ambos sexos;Emigraciones;1509;
Medina-Sidonia;Hombres;Emigraciones;134;
Medina-Sidonia;Mujeres;Emigraciones;116;
Medina-Sidonia;Ambos sexos;Emigraciones;250;
Olvera;Hombres;Emigraciones;97;
Olvera;Mujeres;Emigraciones;87;
Olvera;Ambos sexos;Emigraciones;184;
Paterna de Rivera;Hombres;Emigraciones;54;
Paterna de Rivera;Mujeres;Emigraciones;46;
Paterna de Rivera;Ambos sexos;Emigraciones;100;
Prado del Rey;Hombres;Emigraciones;77;
Prado del Rey;Mujeres;Emigraciones;66;
Prado del Rey;Ambos sexos;Emigraciones;143;
Puerto de Santa María (El);Hombres;Emigraciones;1238;
Puerto de Santa María (El);Mujeres;Emigraciones;1210;
Puerto de Santa María (El);Ambos sexos;Emigraciones;2448;
Puerto Real;Hombres;Emigraciones;640;
Puerto Real;Mujeres;Emigraciones;530;
Puerto Real;Ambos sexos;Emigraciones;1170;
Puerto Serrano;Hombres;Emigraciones;72;
Puerto Serrano;Mujeres;Emigraciones;72;
Puerto Serrano;Ambos sexos;Emigraciones;144;
Rota;Hombres;Emigraciones;453;
Rota;Mujeres;Emigraciones;472;
Rota;Ambos sexos;Emigraciones;925;
San Fernando;Hombres;Emigraciones;1362;
San Fernando;Mujeres;Emigraciones;1208;
San Fernando;Ambos sexos;Emigraciones;2570;
San José del Valle;Hombres;Emigraciones;59;
San José del Valle;Mujeres;Emigraciones;46;
San José del Valle;Ambos sexos;Emigraciones;105;
San Roque;Hombres;Emigraciones;750;
San Roque;Mujeres;Emigraciones;703;
San Roque;Ambos sexos;Emigraciones;1453;
Sanlúcar de Barrameda;Hombres;Emigraciones;435;
Sanlúcar de Barrameda;Mujeres;Emigraciones;404;
Sanlúcar de Barrameda;Ambos sexos;Emigraciones;839;
Setenil de las Bodegas;Hombres;Emigraciones;35;
Setenil de las Bodegas;Mujeres;Emigraciones;38;
Setenil de las Bodegas;Ambos sexos;Emigraciones;73;
Tarifa;Hombres;Emigraciones;317;
Tarifa;Mujeres;Emigraciones;275;
Tarifa;Ambos sexos;Emigraciones;592;
Torre Alháquime;Hombres;Emigraciones;3;
Torre Alháquime;Mujeres;Emigraciones;4;
Torre Alháquime;Ambos sexos;Emigraciones;7;
Trebujena;Hombres;Emigraciones;74;
Trebujena;Mujeres;Emigraciones;90;
Trebujena;Ambos sexos;Emigraciones;164;
Ubrique;Hombres;Emigraciones;141;
Ubrique;Mujeres;Emigraciones;161;
Ubrique;Ambos sexos;Emigraciones;302;
Vejer de la Frontera;Hombres;Emigraciones;121;
Vejer de la Frontera;Mujeres;Emigraciones;128;
Vejer de la Frontera;Ambos sexos;Emigraciones;249;
Villaluenga del Rosario;Hombres;Emigraciones;6;
Villaluenga del Rosario;Mujeres;Emigraciones;8;
Villaluenga del Rosario;Ambos sexos;Emigraciones;14;
Villamartín;Hombres;Emigraciones;158;
Villamartín;Mujeres;Emigraciones;153;
Villamartín;Ambos sexos;Emigraciones;311;
Zahara;Hombres;Emigraciones;7;
Zahara;Mujeres;Emigraciones;16;
Zahara;Ambos sexos;Emigraciones;23;
Córdoba;Hombres;Emigraciones;8780;
Córdoba;Mujeres;Emigraciones;8627;
Córdoba;Ambos sexos;Emigraciones;17407;
Adamuz;Hombres;Emigraciones;49;
Adamuz;Mujeres;Emigraciones;49;
Adamuz;Ambos sexos;Emigraciones;98;
Aguilar de la Frontera;Hombres;Emigraciones;106;
Aguilar de la Frontera;Mujeres;Emigraciones;94;
Aguilar de la Frontera;Ambos sexos;Emigraciones;200;
Alcaracejos;Hombres;Emigraciones;34;
Alcaracejos;Mujeres;Emigraciones;30;
Alcaracejos;Ambos sexos;Emigraciones;64;
Almedinilla;Hombres;Emigraciones;19;
Almedinilla;Mujeres;Emigraciones;28;
Almedinilla;Ambos sexos;Emigraciones;47;
Almodóvar del Río;Hombres;Emigraciones;133;
Almodóvar del Río;Mujeres;Emigraciones;148;
Almodóvar del Río;Ambos sexos;Emigraciones;281;
Añora;Hombres;Emigraciones;11;
Añora;Mujeres;Emigraciones;16;
Añora;Ambos sexos;Emigraciones;27;
Baena;Hombres;Emigraciones;412;
Baena;Mujeres;Emigraciones;258;
Baena;Ambos sexos;Emigraciones;670;
Belalcázar;Hombres;Emigraciones;46;
Belalcázar;Mujeres;Emigraciones;60;
Belalcázar;Ambos sexos;Emigraciones;106;
Belmez;Hombres;Emigraciones;48;
Belmez;Mujeres;Emigraciones;66;
Belmez;Ambos sexos;Emigraciones;114;
Benamejí;Hombres;Emigraciones;56;
Benamejí;Mujeres;Emigraciones;55;
Benamejí;Ambos sexos;Emigraciones;111;
Blázquez (Los);Hombres;Emigraciones;13;
Blázquez (Los);Mujeres;Emigraciones;9;
Blázquez (Los);Ambos sexos;Emigraciones;22;
Bujalance;Hombres;Emigraciones;71;
Bujalance;Mujeres;Emigraciones;80;
Bujalance;Ambos sexos;Emigraciones;151;
Cabra;Hombres;Emigraciones;206;
Cabra;Mujeres;Emigraciones;220;
Cabra;Ambos sexos;Emigraciones;426;
Cañete de las Torres;Hombres;Emigraciones;29;
Cañete de las Torres;Mujeres;Emigraciones;22;
Cañete de las Torres;Ambos sexos;Emigraciones;51;
Carcabuey;Hombres;Emigraciones;31;
Carcabuey;Mujeres;Emigraciones;30;
Carcabuey;Ambos sexos;Emigraciones;61;
Cardeña;Hombres;Emigraciones;17;
Cardeña;Mujeres;Emigraciones;20;
Cardeña;Ambos sexos;Emigraciones;37;
Carlota (La);Hombres;Emigraciones;187;
Carlota (La);Mujeres;Emigraciones;190;
Carlota (La);Ambos sexos;Emigraciones;377;
Carpio (El);Hombres;Emigraciones;56;
Carpio (El);Mujeres;Emigraciones;45;
Carpio (El);Ambos sexos;Emigraciones;101;
Castro del Río;Hombres;Emigraciones;63;
Castro del Río;Mujeres;Emigraciones;71;
Castro del Río;Ambos sexos;Emigraciones;134;
Conquista;Hombres;Emigraciones;11;
Conquista;Mujeres;Emigraciones;11;
Conquista;Ambos sexos;Emigraciones;22;
Córdoba (capital);Hombres;Emigraciones;3031;
Córdoba (capital);Mujeres;Emigraciones;2999;
Córdoba (capital);Ambos sexos;Emigraciones;6030;
Doña Mencía;Hombres;Emigraciones;40;
Doña Mencía;Mujeres;Emigraciones;52;
Doña Mencía;Ambos sexos;Emigraciones;92;
Dos Torres;Hombres;Emigraciones;24;
Dos Torres;Mujeres;Emigraciones;33;
Dos Torres;Ambos sexos;Emigraciones;57;
Encinas Reales;Hombres;Emigraciones;26;
Encinas Reales;Mujeres;Emigraciones;31;
Encinas Reales;Ambos sexos;Emigraciones;57;
Espejo;Hombres;Emigraciones;26;
Espejo;Mujeres;Emigraciones;26;
Espejo;Ambos sexos;Emigraciones;52;
Espiel;Hombres;Emigraciones;47;
Espiel;Mujeres;Emigraciones;70;
Espiel;Ambos sexos;Emigraciones;117;
Fernán-Núñez;Hombres;Emigraciones;102;
Fernán-Núñez;Mujeres;Emigraciones;96;
Fernán-Núñez;Ambos sexos;Emigraciones;198;
Fuente la Lancha;Hombres;Emigraciones;12;
Fuente la Lancha;Mujeres;Emigraciones;8;
Fuente la Lancha;Ambos sexos;Emigraciones;20;
Fuente Obejuna;Hombres;Emigraciones;58;
Fuente Obejuna;Mujeres;Emigraciones;80;
Fuente Obejuna;Ambos sexos;Emigraciones;138;
Fuente Palmera;Hombres;Emigraciones;127;
Fuente Palmera;Mujeres;Emigraciones;127;
Fuente Palmera;Ambos sexos;Emigraciones;254;
Fuente-Tójar;Hombres;Emigraciones;11;
Fuente-Tójar;Mujeres;Emigraciones;18;
Fuente-Tójar;Ambos sexos;Emigraciones;29;
Granjuela (La);Hombres;Emigraciones;9;
Granjuela (La);Mujeres;Emigraciones;10;
Granjuela (La);Ambos sexos;Emigraciones;19;
Guadalcázar;Hombres;Emigraciones;33;
Guadalcázar;Mujeres;Emigraciones;43;
Guadalcázar;Ambos sexos;Emigraciones;76;
Guijo (El);Hombres;Emigraciones;7;
Guijo (El);Mujeres;Emigraciones;11;
Guijo (El);Ambos sexos;Emigraciones;18;
Hinojosa del Duque;Hombres;Emigraciones;68;
Hinojosa del Duque;Mujeres;Emigraciones;78;
Hinojosa del Duque;Ambos sexos;Emigraciones;146;
Hornachuelos;Hombres;Emigraciones;67;
Hornachuelos;Mujeres;Emigraciones;61;
Hornachuelos;Ambos sexos;Emigraciones;128;
Iznájar;Hombres;Emigraciones;77;
Iznájar;Mujeres;Emigraciones;57;
Iznájar;Ambos sexos;Emigraciones;134;
Lucena;Hombres;Emigraciones;515;
Lucena;Mujeres;Emigraciones;502;
Lucena;Ambos sexos;Emigraciones;1017;
Luque;Hombres;Emigraciones;30;
Luque;Mujeres;Emigraciones;36;
Luque;Ambos sexos;Emigraciones;66;
Montalbán de Córdoba;Hombres;Emigraciones;26;
Montalbán de Córdoba;Mujeres;Emigraciones;26;
Montalbán de Córdoba;Ambos sexos;Emigraciones;52;
Montemayor;Hombres;Emigraciones;33;
Montemayor;Mujeres;Emigraciones;32;
Montemayor;Ambos sexos;Emigraciones;65;
Montilla;Hombres;Emigraciones;211;
Montilla;Mujeres;Emigraciones;222;
Montilla;Ambos sexos;Emigraciones;433;
Montoro;Hombres;Emigraciones;115;
Montoro;Mujeres;Emigraciones;112;
Montoro;Ambos sexos;Emigraciones;227;
Monturque;Hombres;Emigraciones;15;
Monturque;Mujeres;Emigraciones;22;
Monturque;Ambos sexos;Emigraciones;37;
Moriles;Hombres;Emigraciones;40;
Moriles;Mujeres;Emigraciones;57;
Moriles;Ambos sexos;Emigraciones;97;
Nueva Carteya;Hombres;Emigraciones;41;
Nueva Carteya;Mujeres;Emigraciones;51;
Nueva Carteya;Ambos sexos;Emigraciones;92;
Obejo;Hombres;Emigraciones;62;
Obejo;Mujeres;Emigraciones;51;
Obejo;Ambos sexos;Emigraciones;113;
Palenciana;Hombres;Emigraciones;14;
Palenciana;Mujeres;Emigraciones;9;
Palenciana;Ambos sexos;Emigraciones;23;
Palma del Río;Hombres;Emigraciones;245;
